Training_Region_Cell_ID,D_model1,D_model2,D_dataCat,D_dataFeat,D_kgS0,D_kgS1,D_kgS2,D_kgS3,D_nopredTarget,D_onto,invalid_cell,type,cell-pair(s),family,setID,trial_ID,status,comments
141,1,1,2,2,1,1,1,1,2,3,A,,,,,,,
142,1,1,2,2,1,1,1,1,3,1,,,,,,,,
143,1,1,2,2,1,1,1,1,3,2,A,,,,,,,
144,1,1,2,2,1,1,1,1,3,3,A,,,,,,,
145,1,1,2,2,2,1,1,1,1,1,B,,,,,,,
146,1,1,2,2,2,1,1,1,1,2,,,,,,,,
147,1,1,2,2,2,1,1,1,1,3,,,,,,,,
148,1,1,2,2,2,1,1,1,2,1,B,,,,,,,
149,1,1,2,2,2,1,1,1,2,2,,,,,,,,
150,1,1,2,2,2,1,1,1,2,3,,,,,,,,
151,1,1,2,2,2,1,1,1,3,1,B,,,,,,,
152,1,1,2,2,2,1,1,1,3,2,,,,,,,,
153,1,1,2,2,2,1,1,1,3,3,,,,,,,,
154,1,1,2,2,3,1,1,1,1,1,B,,,,,,,
155,1,1,2,2,3,1,1,1,1,2,,,,,,,,
156,1,1,2,2,3,1,1,1,1,3,,,,,,,,
157,1,1,2,2,3,1,1,1,2,1,B,,,,,,,
158,1,1,2,2,3,1,1,1,2,2,,,,,,,,
159,1,1,2,2,3,1,1,1,2,3,,,,,,,,
160,1,1,2,2,3,1,1,1,3,1,B,,,,,,,
161,1,1,2,2,3,1,1,1,3,2,,,,,,,,
162,1,1,2,2,3,1,1,1,3,3,,,,,,,,
163,1,1,2,3,1,1,1,1,1,1,,,,,,,,
164,1,1,2,3,1,1,1,1,1,2,A,,,,,,,
165,1,1,2,3,1,1,1,1,1,3,A,,,,,,,
166,1,1,2,3,1,1,1,1,2,1,,,,,,,,
167,1,1,2,3,1,1,1,1,2,2,A,,,,,,,
168,1,1,2,3,1,1,1,1,2,3,A,,,,,,,
169,1,1,2,3,1,1,1,1,3,1,,,,,,,,
170,1,1,2,3,1,1,1,1,3,2,A,,,,,,,
171,1,1,2,3,1,1,1,1,3,3,A,,,,,,,
172,1,1,2,3,2,1,1,1,1,1,B,,,,,,,
173,1,1,2,3,2,1,1,1,1,2,,,,,,,,
174,1,1,2,3,2,1,1,1,1,3,,,,,,,,
175,1,1,2,3,2,1,1,1,2,1,B,,,,,,,
176,1,1,2,3,2,1,1,1,2,2,,,,,,,,
177,1,1,2,3,2,1,1,1,2,3,,,,,,,,
178,1,1,2,3,2,1,1,1,3,1,B,,,,,,,
179,1,1,2,3,2,1,1,1,3,2,,,,,,,,
180,1,1,2,3,2,1,1,1,3,3,,,,,,,,
181,1,1,2,3,3,1,1,1,1,1,B,,,,,,,
182,1,1,2,3,3,1,1,1,1,2,,,,,,,,
183,1,1,2,3,3,1,1,1,1,3,,,,,,,,
184,1,1,2,3,3,1,1,1,2,1,B,,,,,,,
185,1,1,2,3,3,1,1,1,2,2,,,,,,,,
186,1,1,2,3,3,1,1,1,2,3,,,,,,,,
187,1,1,2,3,3,1,1,1,3,1,B,,,,,,,
188,1,1,2,3,3,1,1,1,3,2,,,,,,,,
189,1,1,2,3,3,1,1,1,3,3,,,,,,,,
190,1,1,2,4,1,1,1,1,1,1,,,,,,,,
191,1,1,2,4,1,1,1,1,1,2,A,,,,,,,
192,1,1,2,4,1,1,1,1,1,3,A,,,,,,,
193,1,1,2,4,1,1,1,1,2,1,,,,,,,,
194,1,1,2,4,1,1,1,1,2,2,A,,,,,,,
195,1,1,2,4,1,1,1,1,2,3,A,,,,,,,
196,1,1,2,4,1,1,1,1,3,1,,,,,,,,
197,1,1,2,4,1,1,1,1,3,2,A,,,,,,,
198,1,1,2,4,1,1,1,1,3,3,A,,,,,,,
199,1,1,2,4,2,1,1,1,1,1,B,,,,,,,
200,1,1,2,4,2,1,1,1,1,2,,,,,,,,
201,1,1,2,4,2,1,1,1,1,3,,,,,,,,
202,1,1,2,4,2,1,1,1,2,1,B,,,,,,,
203,1,1,2,4,2,1,1,1,2,2,,,,,,,,
204,1,1,2,4,2,1,1,1,2,3,,,,,,,,
205,1,1,2,4,2,1,1,1,3,1,B,,,,,,,
206,1,1,2,4,2,1,1,1,3,2,,,,,,,,
207,1,1,2,4,2,1,1,1,3,3,,,,,,,,
208,1,1,2,4,3,1,1,1,1,1,B,,,,,,,
209,1,1,2,4,3,1,1,1,1,2,,,,,,,,
210,1,1,2,4,3,1,1,1,1,3,,,,,,,,
211,1,1,2,4,3,1,1,1,2,1,B,,,,,,,
212,1,1,2,4,3,1,1,1,2,2,,,,,,,,
213,1,1,2,4,3,1,1,1,2,3,,,,,,,,
214,1,1,2,4,3,1,1,1,3,1,B,,,,,,,
215,1,1,2,4,3,1,1,1,3,2,,,,,,,,
216,1,1,2,4,3,1,1,1,3,3,,,,,,,,
217,1,1,3,1,1,1,1,1,1,1,C,,,,,,,
218,1,1,3,1,1,1,1,1,1,2,,,,,,,,
219,1,1,3,1,1,1,1,1,1,3,,,,,,,,
220,1,1,3,1,1,1,1,1,2,1,C,,,,,,,
221,1,1,3,1,1,1,1,1,2,2,,,,,,,,
222,1,1,3,1,1,1,1,1,2,3,,,,,,,,
223,1,1,3,1,1,1,1,1,3,1,C,,,,,,,
224,1,1,3,1,1,1,1,1,3,2,,,,,,,,
